QUEST_UNUSED_00000000_000000	UTF-8-DOM問題迴避用
QUEST_UNUSED_20151022_001583	Ask Gedas about the flame bombs and the investigation about the truth.
QUEST_UNUSED_20151022_001584	"""While waiting for the results of the investigation arrive here, Gedas asked you to meet Barte who is one of the members of Anastospa who arrived here recently. You better ask her if there's anything she saw while coming here."""
QUEST_UNUSED_20151022_001585	Collect the traces of monsters from Majiva Grave Field
QUEST_UNUSED_20151022_001586	Hand over the leather pieces to Barte
QUEST_UNUSED_20151022_001587	Collect the pieces of leathers from monsters
QUEST_UNUSED_20151022_001588	Let Gedas know about the symbol of the leather
QUEST_UNUSED_20151022_001589	Barte told you that the symbol that is engraved on the leather belongs to Vaiga. Tell this to Gedas.
QUEST_UNUSED_20151022_001590	Request help from Eduinas of Nestospa
QUEST_UNUSED_20151022_001591	"""Gedas told you that in order to fight against the demons, he would need the help of Nestospa. Go meet Eduinas at the camp of Nestospa and ask for help."""
QUEST_UNUSED_20151022_001592	Go to Liugas Access Road and save Fabijus
QUEST_UNUSED_20151022_001593	"""To save Fabijus and defeat Albinas, go to Liugas Access Road where you met Albinas for the first time."""
QUEST_UNUSED_20151022_001594	Defeat Albinas
QUEST_UNUSED_20151022_001595	"""As you sprinkled the holy water, Albinas has shown himself and turned into a Fire Lord! Don't miss this chance and defeat Fire Lord!"""
QUEST_UNUSED_20151022_001596	Report to Gedas
QUEST_UNUSED_20151022_001597	Tell Eduinas at Nestospa camp about what happened
QUEST_UNUSED_20151022_001598	Tell Damijonas at Usas Hill about the story
QUEST_UNUSED_20151022_001599	"""The newcomers which Leopoldas has told you before are right beside. Among them, talk to a newcomer called Gerda. There may be something you can help on."""
QUEST_UNUSED_20151022_001600	Set the notice board on Kluibe Road
QUEST_UNUSED_20151022_001601	"""Gerda told you that among many works to do, there is a task to set the notice boards in various places. Help her and set the notice board on Kluibe Road."""
QUEST_UNUSED_20151022_001602	"""You've set the notice board on Kluibe Road as Gerda requested to you. Now, go back to Gerda."""
QUEST_UNUSED_20151022_001603	Use the scroll of Kedoran Merchant Alliance to the new Revelator
QUEST_UNUSED_20151022_001604	"""Kedoran Merchant Alliance are helping the new Revelators. Please use the scroll of Kedoran Merchant Alliance to the new Revelators who are between level 1 and level 10 near Orsha or Klaipeda. But, you can't use it to the Revelators who already received benefits."""
QUEST_UNUSED_20151022_001605	You've helped new Revelators. Go back to Serapinas and let him know.
QUEST_UNUSED_20151022_001606	Retrieve the sacred objects which the merchants had lost
QUEST_UNUSED_20151022_001607	Edita asked you to retrieve the sacred objects that were lost in Goanar Path. Defeat the monsters as well on your way back.
QUEST_UNUSED_20151022_001608	Hand them over to Edita
QUEST_UNUSED_20151022_001609	You've defeated all monsters and retrieved the sacred objects. Please bring them to Edita.
QUEST_UNUSED_20151022_001610	Defeat the monsters near Goanar Path
QUEST_UNUSED_20151022_001611	Retrieve the objects of the merchants at Kluibe Road.
QUEST_UNUSED_20151022_001612	The monsters are rushing in near the place where the objects should be located. Defeat them and retrieve the objects of the merchants.
QUEST_UNUSED_20151022_001613	Hand them over to Jurate
QUEST_UNUSED_20151022_001614	Acquired the objects of the merchants. Go back to Jurate and ask what these are.
QUEST_UNUSED_20151022_001615	Retrieve %s after defeating monsters
QUEST_UNUSED_20151022_001616	Defeat the monsters and retrieve the damp piece of a paper
QUEST_UNUSED_20151022_001617	Search the merchants' goods using the detector at Juikas Field
QUEST_UNUSED_20151022_001618	Investigate Juikas Field with the detector which Edita gave to you. You will know the direction when you use the detector within the marked spot on the map.
QUEST_UNUSED_20151022_001619	Report to Edita
QUEST_UNUSED_20151022_001620	You've found the merchant's goods with the detector. Bring them back to Edita.
QUEST_UNUSED_20151022_001621	Retrieve the educational materials from the monsters
QUEST_UNUSED_20151022_001622	Hand them over to Margellius
QUEST_UNUSED_20151022_001623	Collect the educational materials from the monsters
QUEST_UNUSED_20151022_001624	Collect the body fluid of the monsters
QUEST_UNUSED_20151022_001625	"""In order to make educational documents, you would need the special ink. Put the trap which Margellius gave to you on Drose Empty Lot, capture th4e monsters and extract the body fluid."""
QUEST_UNUSED_20151022_001626	Collect the materials to make tombstones
QUEST_UNUSED_20151022_001627	Hand them over to Antanas
QUEST_UNUSED_20151022_001628	"""Acquired all materials that are needed to create tombstones. Now, go back to Antanas."""
QUEST_UNUSED_20151022_001629	"""Since you've obtained all materials, now ask if you can make tombstones."""
QUEST_UNUSED_20151022_001630	Receive the chisel and the hammer that were specially ordered from the blacksmith in Orsha
QUEST_UNUSED_20151022_001631	Antanas ordered special tools in order to make tombstones. Go meet the blacksmith in Orsha to receive the chisel and the hammer that were specially ordered.
QUEST_UNUSED_20151022_001632	"""Antanas ordered the hammer and the chisel, but the blacksmith only gave you the hammer. Ask what happened to the chisel."""
QUEST_UNUSED_20151022_001633	Receive the chisel that was specially ordered from the blacksmith in Orsha
QUEST_UNUSED_20151022_001634	The blacksmith in Orsha handed over the work to the Equipment Merchant for the completion. Go meet the Equipment Merchant to receive the chisel.
QUEST_UNUSED_20151022_001635	"""You've received the chisel and the hammer. Now, hand them over to Antanas."""
QUEST_UNUSED_20151022_001636	It seems that you've helped all the tasks which Antanas needed help. Talk to him for the last time.
QUEST_UNUSED_20151022_001637	Craft the tombstone
QUEST_UNUSED_20151022_001638	Antanas suggested you to make a tombstone. It will be a good experience to make it.
QUEST_UNUSED_20151022_001639	The tombstone was well made. Now is the time to say farewell to Antanas.
QUEST_UNUSED_20151022_001640	Antans told you that Gierda who is the another member of Nestospa needs help.
QUEST_UNUSED_20151022_001641	Collect the transparent shells
QUEST_UNUSED_20151022_001642	"""Gierda told you that in order to make scriptures, he would need transparent shells. Defeat the monsters and obtain transparent shells."""
QUEST_UNUSED_20151022_001643	Hand them over to Gierda
QUEST_UNUSED_20151022_001644	"""Since you've collected all transparent shells, please take them to Gierda."""
QUEST_UNUSED_20151022_001645	Craft the rigid string roll for binding using the short leather string
QUEST_UNUSED_20151022_001646	"""You would need the leather string that is needed for binding scriptures, but the leather strings from the monsters are too short. Obtain short leather strings from the monsters and make rigid string roll for binding using Moru."""
QUEST_UNUSED_20151022_001647	You've created all leather strings for binding. Take those to Gierda.
QUEST_UNUSED_20151022_001648	Talk with Kestas who looks very unstable
QUEST_UNUSED_20151022_001649	You can see Kestas who looks very unstable. Talk to him.
QUEST_UNUSED_20151022_001650	Retrieve the sign of Nestospa from the monsters
QUEST_UNUSED_20151022_001651	Kestas looks very unstable since he lost the sign of Nestospa. Retrieve the sign of Nestospa from the monsters nearby.
QUEST_UNUSED_20151022_001652	Hand them over to Kestas
QUEST_UNUSED_20151022_001653	It seems Kestas looks safe now. Talk with Kestas.
QUEST_UNUSED_20151022_001654	Defeat the monsters that are trying to steal the signs
QUEST_UNUSED_20151022_001655	You blew the horn to order for the retreat. Tell this to the Ruklys Army Soldier Spirit.
QUEST_UNUSED_20151022_001656	Talk with Varas
QUEST_UNUSED_20151022_001657	Varas looks unstable. Ask him why he is unstable.
QUEST_UNUSED_20151022_001658	Move to the location where the colleagues of Varas are located.
QUEST_UNUSED_20151022_001659	Varas told you that his colleagues are being attacked by the demons. Help them.
QUEST_UNUSED_20151022_001660	It seems that Rose wants to talk about something. Talk to her.
QUEST_UNUSED_20151022_001661	Defeat the demons that are threatening the merchants
QUEST_UNUSED_20151022_001662	Talk with Rose
QUEST_UNUSED_20151022_001663	Restore the stamina of the dog
QUEST_UNUSED_20151022_001664	"""By using the dog's olfactory sense, roge wants to look for the merchants that are scattered around. But, the dog doesn't have enough stamina. Please restore the dog's stamina."""
QUEST_UNUSED_20151022_001665	The dog's stamina came back to look for the colleagues of Rose. Tell this to Rose.
QUEST_UNUSED_20151022_001666	Look for the merchants using the dog's olfactory sense
QUEST_UNUSED_20151022_001667	Let the dog smell the clothes that contain the merchant's odor and look for the merchant
QUEST_UNUSED_20151022_001668	Talk with the merchant
QUEST_UNUSED_20151022_001669	It seems that you've found most of the merchants. Talk with the merchants.
QUEST_UNUSED_20151022_001670	Talk with the merchants
QUEST_UNUSED_20151022_001671	Defeat the demons that are threatening the merchants
QUEST_UNUSED_20151022_001672	Defeat the demons that are threatening the merchants
QUEST_UNUSED_20151022_001673	Look for the luggages that the merchants had lost
QUEST_UNUSED_20151022_001674	The merchant is saying that he lost all his luggages while he was being chased after by the demons. Please look for the luggages of the merchant.
QUEST_UNUSED_20151022_001675	You've picked up all luggages of the merchant that were dropped on the ground. Take those back to the merchant.
QUEST_UNUSED_20151022_001676	Talk to the merchant who is trembling due to uneasiness
QUEST_UNUSED_20151022_001677	Defeat the demons and the monsters that are around AA village
QUEST_UNUSED_20151022_001678	Relieve the merchant's anxiety by defeating the demons and the monsters that are around AA village
QUEST_UNUSED_20151022_001679	You've defeated the demons and the monsters that are around AA village. Talk to the merchant.
QUEST_UNUSED_20151022_001680	Defeat the demons and the monsters that are around AA village
QUEST_UNUSED_20151022_001681	Talk to Herbalist Tales
QUEST_UNUSED_20151022_001682	Talk to Herbalist Tales
QUEST_UNUSED_20151022_001683	Obtain the nearby herbs
QUEST_UNUSED_20151022_001684	Herbalist Tales asked you to get some herbs that would cure his wounds.
QUEST_UNUSED_20151022_001685	"""It seems that even with the effects of the herbs, the wounds of Tales won't recover. Talk to Tales."""
QUEST_UNUSED_20151022_001686	Talk with Cleric Submaster
QUEST_UNUSED_20151022_001687	Tell Cleric Submaster about the status of Herbalist Tales
QUEST_UNUSED_20151022_001688	Talk with Cleric Submaster
QUEST_UNUSED_20151022_001689	Hand over the herb to Herbalist Tales
QUEST_UNUSED_20151022_001690	Hand over the herb which you obtained from Cleric Submaster to Herbalist Tales
QUEST_UNUSED_20151022_001691	It seems that Rose found something. Go back to her and talk.
QUEST_UNUSED_20151022_001692	Defeat the demons at the Demons' Base
QUEST_UNUSED_20151022_001693	Defeat the remaining demons at the Demons' Base
QUEST_UNUSED_20151022_001694	Defeat the remaining demons at the Demons' Base
QUEST_UNUSED_20151022_001695	Talk to Rose
QUEST_UNUSED_20151022_001696	Look for the information regarding the giant bracken
QUEST_UNUSED_20151022_001697	Look for the information regarding the giant bracken at the Demons' Base
QUEST_UNUSED_20151022_001698	Go back to Rose
QUEST_UNUSED_20151022_001699	You've found the information about the giant bracken. Go back to Rose.
QUEST_UNUSED_20151022_001700	Go back to Rose
QUEST_UNUSED_20151022_001701	Go back to Rose and tell her about the information about the giant bracken
QUEST_UNUSED_20151022_001702	Rescue Rose
QUEST_UNUSED_20151022_001703	Rose was captured by unidentified wizard and demons. Rescue her.
QUEST_UNUSED_20151022_001704	You've rescued Rose. Talk to her.
QUEST_UNUSED_20151022_001705	Defeat the demons that are trying to kidnap Rose
QUEST_UNUSED_20151022_001706	Tell Rose about the information about the giant bracken
QUEST_UNUSED_20151022_001707	Eliminate the power supply of the device
QUEST_UNUSED_20151022_001708	Eliminate the power supply of the device which makes the giant bracken bigger
QUEST_UNUSED_20151022_001709	You've eliminated the power supply of the device. Talk to Rose.
QUEST_UNUSED_20151022_001710	Rose is waiting on the way to the monastery. Talk to her.
QUEST_UNUSED_20151022_001711	Defeat the demons that are blocking the road
QUEST_UNUSED_20151022_001712	Defeat the demons that are blocking the road to the monastery.
QUEST_UNUSED_20151022_001713	Defeat Gremlin
QUEST_UNUSED_20151022_001714	Talk to the herb gatherer
QUEST_UNUSED_20151022_001715	Release the trap
QUEST_UNUSED_20151022_001716	Destroy the magic circle that is protecting the caldron
QUEST_UNUSED_20151022_001717	Destroy the magic circle that is protecting the caldron
QUEST_UNUSED_20151022_001718	Destroys the caldron
QUEST_UNUSED_20151022_001719	The magic circle that was protecting the caldron has been removed. Destroy the caldron
QUEST_UNUSED_20151022_001720	Burn the box which has the bracken in it
QUEST_UNUSED_20151022_001721	Burn the box which the demons put the brackens in
QUEST_UNUSED_20151022_001722	The settlers are being threatened by Poatas that appeared in front of the entrance of Orsha! Defeat Poatas to secure the safety at the entrance of Orsha.
QUEST_UNUSED_20151022_001723	Settler Izna asked you to get Red Leaves by defeating Leaf Bugs at the 1st district
QUEST_UNUSED_20151022_001724	"""As Izna requested to you, you've obtained enough Red Leaves. Talk to Izna"""
QUEST_UNUSED_20151022_001725	Settler Izna asked you to collect the mucus which you can obtain by defeating Chinencys at the 1st and the 2nd districts
QUEST_UNUSED_20151022_001726	Acquired enough Rampar Mucus as Izna requested to you. Talk to Izna
QUEST_UNUSED_20151022_001727	"""In order to help the settlers who are isolated in the forest due to the gigantic monsters, Settler Izna asked you to set the bonfire at the resting areas in the district 3 and 4."""
QUEST_UNUSED_20151022_001728	Set the fire on woodpiles at the resting area
QUEST_UNUSED_20151022_001729	Settler Izna asked you to set the fire on the woodpiles of the resting areas for the settlers to see clearly
QUEST_UNUSED_20151022_001730	Defeat Woodspirit
QUEST_UNUSED_20151022_001731	Settler Dallanas blessed your adventure. And she also advised you to pray in front of the Statue of Goddess Zemyna and receive the protection of the goddess.
QUEST_UNUSED_20151022_001732	Defeat the monsters at the temporal resting area
QUEST_UNUSED_20151022_001733	Settler Dallanas told you that the temporal resting area where the settlers are waiting to enter Orsha has become dangerous due to the ourburst of the monsters recently. Let's defeat the monsters at the temporal resting area.
QUEST_UNUSED_20151022_001734	Settler Dallanas has asked you to bring the settlers that were spreaded across the temporal resting areas
QUEST_UNUSED_20151022_001735	Talk with Inesa Hamondale
QUEST_UNUSED_20151022_001736	Pray in front of the Goddess Statue
QUEST_UNUSED_20151022_001737	Talk with the Item Merchant
QUEST_UNUSED_20151022_001738	Talk with the Item Merchant
QUEST_UNUSED_20151022_001739	Talk with the Accessory Merchant
QUEST_UNUSED_20151022_001740	Talk with Agent Cherasia
QUEST_UNUSED_20151022_001741	Talk with Agent Cherasia
QUEST_UNUSED_20151022_001742	Collect the pieces of the memo that belongs to the Priest Irma
QUEST_UNUSED_20151022_001743	Collect the pieces of the memo that belongs to the Priest Irma by defeating the monsters nearby
QUEST_UNUSED_20151022_001744	Talk with Agent Moren
QUEST_UNUSED_20151022_001745	Talk with Agent Moren
QUEST_UNUSED_20151022_001746	Defeat the monsters around Moren
QUEST_UNUSED_20151022_001747	"""Protect Agent Moren while he is analyzing the collected information. As you defeat the monsters around, Moren will calmly analyze the information more quickly."""
QUEST_UNUSED_20151022_001748	Talk with Agent Moren
QUEST_UNUSED_20151022_001749	Collect the half burnt memo
QUEST_UNUSED_20151022_001750	Collect the half burn memo
QUEST_UNUSED_20151022_001751	Talk with Chaser Ulysses
QUEST_UNUSED_20151022_001752	Talk with Chaser Ulysses
QUEST_UNUSED_20151022_001753	Check the hideout of the priests
QUEST_UNUSED_20151022_001754	Check the hideout of the priests
QUEST_UNUSED_20151022_001755	Obtain the diary of Urbonas
QUEST_UNUSED_20151022_001756	"""At the hideout of the priests, you've discovered the diary of Urbonas. Pick that up and hand it over to Chaser Ulysses"""
QUEST_UNUSED_20151022_001757	Defeat Minotaur
QUEST_UNUSED_20151022_001758	Talk with Chaser Talbasi
QUEST_UNUSED_20151022_001759	Go meet Chaser Talbasi at Paupys Crossing
QUEST_UNUSED_20151022_001760	Talk with Chaser Pierneef
QUEST_UNUSED_20151022_001761	Talk with Chaser Pierneef
QUEST_UNUSED_20151022_001762	Defeat the monsters around
QUEST_UNUSED_20151022_001763	Chaser Pierneef asked you to defeat the monsters at district 1 and 2
QUEST_UNUSED_20151022_001764	Defeat Lapezard
QUEST_UNUSED_20151022_001765	Defeat Lapemiter
QUEST_UNUSED_20151022_001766	Get rid of the smelly carts
QUEST_UNUSED_20151022_001767	Chaser Pierneef asked you to eliminate the wagon that is spreading the bad smell at the 1st and 2nd district
QUEST_UNUSED_20151022_001768	Talk with Chaser Germeja
QUEST_UNUSED_20151022_001769	Talk with Chaser Germeja
QUEST_UNUSED_20151022_001770	Use the monster attracting agent
QUEST_UNUSED_20151022_001771	Chaser Germeja asked you to create conflicts between monsters since there aren't enough hands
QUEST_UNUSED_20151022_001772	Talk with Chaser Raitis
QUEST_UNUSED_20151022_001773	Talk with Chaser Raitis
QUEST_UNUSED_20151022_001774	Chaser Raitis has asked you to defeat the monsters that are appearing from the hallway of the 4th district
QUEST_UNUSED_20151022_001775	Destroy the habitat of the monsters
QUEST_UNUSED_20151022_001776	Destroy the habitat of the monsters
QUEST_UNUSED_20151022_001777	Defeat the Chafer that suddenly attacked
QUEST_UNUSED_20151022_001778	Talk with Chaser Talbasi
QUEST_UNUSED_20151022_001779	Collect the memos of Priest Gelija
QUEST_UNUSED_20151022_001780	Collect the memos of Priest Gelija by defeating the monsters around
QUEST_UNUSED_20151022_001781	The memo of Priest Gelija
QUEST_UNUSED_20151022_001782	Search the hideout
QUEST_UNUSED_20151022_001783	Chaser Talbasi asked you to search the hideout of the priests who were discovered recently before you go meet Agent Larena.
QUEST_UNUSED_20151022_001784	Talk to Agent Larena
QUEST_UNUSED_20151022_001785	Talk to Agent Larena
QUEST_UNUSED_20151022_001786	Search the traces of the priest
QUEST_UNUSED_20151022_001787	Agent Larena asked you to take the dog that was raised by the priests and look for the traces of the priests around
QUEST_UNUSED_20151022_001788	Talk with Chaser Sendal
QUEST_UNUSED_20151022_001789	Talk with Chaser Sendal
QUEST_UNUSED_20151022_001790	Rescue Priest Pranas
QUEST_UNUSED_20151022_001791	Chaser Sendal has asked you to rescue the Priest Pranas who was captured by the demons
QUEST_UNUSED_20151022_001792	Talk with Priest Pranas
QUEST_UNUSED_20151022_001793	Talk with Priest Pranas
QUEST_UNUSED_20151022_001794	Look for the traces of Bishop Urbonas
QUEST_UNUSED_20151022_001795	Priest Pranas asked you to come back to Orsha after finding the traces of Urbonas at the hideout. Pranas has returned to Orsha first due to the wounds.
QUEST_UNUSED_20151022_001796	Talk with Agent Orwen
QUEST_UNUSED_20151022_001797	Talk with Agent Orwen
QUEST_UNUSED_20151022_001798	Agent Orwen has asked you to defeat the monsters that are disturbing the search activities of the agents.
QUEST_UNUSED_20151022_001799	Eliminate the demonic magic circle
QUEST_UNUSED_20151022_001800	Agent Orwen asked you to disband the demonic magic circles that are scattered across the 1st and the 2nd districts
QUEST_UNUSED_20151022_001801	Talk with Agent Notres
QUEST_UNUSED_20151022_001802	Agent Notres wants to check whether the 3rd district is safe for the safe emigration of the settlers that are coming to Orsha. He asked you if the monsters there can be defeated.
QUEST_UNUSED_20151022_001803	Defeat the monsters in the hallway
QUEST_UNUSED_20151022_001804	Check the camp region
QUEST_UNUSED_20151022_001805	Agent Notres wants to check whether it would be alright to rest at the camp of the 4th district while the settlers are heading to Orsha. Let's check whether 4th camp district is safe.
QUEST_UNUSED_20151022_001806	Talk with Agent Notres
QUEST_UNUSED_20151022_001807	Defeat the boss monster
QUEST_UNUSED_20151022_001808	Collect Corrupted Blood
QUEST_UNUSED_20151022_001809	Agent Notres Notores told you that he found the traces of the demons from the monsters that had gone mad. Defeat the monsters and collect the polluted blood of them and hand them over to Agent Notres
QUEST_UNUSED_20151022_001810	Talk with Chaser Zegaus
QUEST_UNUSED_20151022_001811	Talk with Chaser Zegaus
QUEST_UNUSED_20151022_001812	Chaser Zegaus asked you to defeat the monsters around since he is hurt
QUEST_UNUSED_20151022_001813	Retrieve the pockets of the chasers
QUEST_UNUSED_20151022_001814	Retrieve the pockets of the chasers
QUEST_UNUSED_20151022_001815	Priest Pranas is waiting for you at the entrance of Ashaq Underground Prison at Paupys Crossing
QUEST_UNUSED_20151022_001816	Follow Priest Pranas
QUEST_UNUSED_20151022_001817	Priest Pranas told you that he would first go to the 1st floor of Ashaq Underground Prison. Follow Priest Pranas to the 1st floor of Ashaq Underground Prison.
QUEST_UNUSED_20151022_001818	Talk with Priest Pranas
QUEST_UNUSED_20151022_001819	Look for a method to relieve the curse totem
QUEST_UNUSED_20151022_001820	Priest Pranas asked you to find a way to relieve the curse totem
QUEST_UNUSED_20151022_001821	Check the curse totem
QUEST_UNUSED_20151022_001822	You've defeated enough demons nearby. Check the curse totem again
QUEST_UNUSED_20151022_001823	Destroy the curse totem
QUEST_UNUSED_20151022_001824	The Priest Pranas asked you to destroy the curse totem that is set up on the way to the hideout of Urbonas by using the same method
QUEST_UNUSED_20151022_001825	Eliminate the fragments of the curse totem
QUEST_UNUSED_20151022_001826	"""The curse totem which the Priest Pranas asked you to eliminate has been destroyed by someone. But, it seems that those fragments are still operating. Eliminate the fragments of the curse totem"""
QUEST_UNUSED_20151022_001827	Check the curse totem
QUEST_UNUSED_20151022_001828	Defeat the boss monster that is protecting the totem
QUEST_UNUSED_20151022_001829	"""As you were destroying the curse totem as the Priest Pranas requested to you, the boss monster that is trying to protect the totem appeared"""
QUEST_UNUSED_20151022_001830	Talk with Urbonas
QUEST_UNUSED_20151022_001831	Talk with Urbonas
QUEST_UNUSED_20151022_001832	Talk with Urbonas
QUEST_UNUSED_20151022_001833	Bishop Urbonas asked you to step onto the magic circle and check whether you are the true Revelator.
QUEST_UNUSED_20151022_001834	Talk with Chaser Torvana
QUEST_UNUSED_20151022_001835	Collect Red Essences
QUEST_UNUSED_20151022_001836	Chaser Torvana has asked you to collect the red essences that are being used by the demons to help the agents.
QUEST_UNUSED_20151022_001837	Talk with Chaser Torvana
QUEST_UNUSED_20151022_001838	Collect Black Wooden Pieces
QUEST_UNUSED_20151022_001839	Chaser Torvana asked you to collect the black tree pieces which was requested by Intelligence Command that belongs to the lord.
QUEST_UNUSED_20151022_001840	Talk with Chaser Daramaus
QUEST_UNUSED_20151022_001841	Obtain the demons' pockets
QUEST_UNUSED_20151022_001842	Chaser Daramaus told you that he needs to investigate the goods that are being used by the demons. Defeat the demons to obtain the demons' pockets.
QUEST_UNUSED_20151022_001843	Investigate the demons' pockets
QUEST_UNUSED_20151022_001844	"""As Chaser Daramaus requested to you, you've obtained enough demons' pockets. Use the pockets and tell their effects to Daramaus."""
QUEST_UNUSED_20151022_001845	Talk with Chaser Daramaus
QUEST_UNUSED_20151022_001846	Go to the 2nd floor of Ashaq Underground Prison by following Priest Pranas
QUEST_UNUSED_20151022_001847	Priest Pranas asked you to destroy the curse totem that is set up on the 2nd floor of Ashaq Underground Prison
QUEST_UNUSED_20151022_001848	Rescue Priest Irma
QUEST_UNUSED_20151022_001849	Priest Pranas asked you to rescue Priest Irma who is isolated in the 3rd district
QUEST_UNUSED_20151022_001850	Talk with Priest Irma
QUEST_UNUSED_20151022_001851	Destroy the surveillance totem
QUEST_UNUSED_20151022_001852	Priest Irma wants to destroy the surveillance totem and directs the attention of the Demon Lord Marnox to another direction and retrieve the demons' written instructions that are on the 3rd floor of Ashaq Underground Prison. Destroy the surveillance totem.
QUEST_UNUSED_20151022_001853	Priest Irma wants to destroy the surveillance totem and directs the attention of the Demon Lord Marnox to another direction and retrieve the demons' written instructions that are on the 3rd floor of Ashaq Underground Prison. Collect the unstable demonic stones near the 2nd surveillance totem and attach them onto it to destroy it
QUEST_UNUSED_20151022_001854	Talk with Gelija
QUEST_UNUSED_20151022_001855	Talk with Gelija
QUEST_UNUSED_20151022_001856	Talk with Priest Auranas
QUEST_UNUSED_20151022_001857	Talk with Priest Auranas
QUEST_UNUSED_20151022_001858	Collect Twinkling Pearl Powder
QUEST_UNUSED_20151022_001859	"""Priest Auranas brought various traps and goods for the request of Urbonas to prepare the days like today. Auranas told you that if you could collect shining pearl powder from the 1st district, he would make useful goods to fight against the demons"""
QUEST_UNUSED_20151022_001860	Defeat the demons
QUEST_UNUSED_20151022_001861	"""Priest Auranas told you that when you use the orbs that are made of pearls, you would be able to find the demons that are ranked high. When you use the orbs, you would be able to bind the high ranked demons and the spirits of the subordinate demons together and if you defeat high ranked demons, you would be able to defeat subordinate demons simultaneously."""
QUEST_UNUSED_20151022_001862	Defeat the high ranked demons
QUEST_UNUSED_20151022_001863	Talk with Priest Draznie
QUEST_UNUSED_20151022_001864	Talk with Priest Draznie
QUEST_UNUSED_20151022_001865	Priest Draznie asked you to defeat the demons that rushed into the 3rd district.
QUEST_UNUSED_20151022_001866	Lure the demons into the traps
QUEST_UNUSED_20151022_001867	"""Priest Draznie told you that the time has come to use the trap with Priest Auranas. If you could take the demons to the trap that is set up in the poisonous room at the 4th district, you would be able to defeat the demons."""
QUEST_UNUSED_20151022_001868	Talk with Priest Gelija
QUEST_UNUSED_20151022_001869	Talk with Priest Gelija
QUEST_UNUSED_20151022_001870	"""Priest Irma told you that he should go to the place where the demons' written instruction is hidden, but due to the curse totem, he doesn't have power to say the spell. Destroy the curse totem and help Iruma."""
QUEST_UNUSED_20151022_001871	Priest Irma asked you to destroy the surveillance totem at the 3rd district in order to divert the attention of Marnox who must be somewhere in the 3rd floor of Ashaq Underground Prison.
QUEST_UNUSED_20151022_001872	Talk with Inesa Hamondale
QUEST_UNUSED_20151022_001873	Talk with Inesa Hamondale
QUEST_UNUSED_20151022_001874	Priest Gelija asked you to destroy the curse totems that are remaining in the 1st district of the 3rd floor of Ashaq Underground Prison.
QUEST_UNUSED_20151022_001875	Retrieve the bag of the priest
QUEST_UNUSED_20151022_001876	Priest Gelija asked you to retrieve the goods of the colleagues that went missing in Ashaq Underground Prison.
QUEST_UNUSED_20151022_001877	Purify the curse totem pieces
QUEST_UNUSED_20151022_001878	Priest Gelija asked you to erase the demonic energy completely using the damp bandage that got wet by the sacred water and the destroyed curse totem pieces
QUEST_UNUSED_20151022_001879	Talk with the Swordsman Submaster
QUEST_UNUSED_20151022_001880	Talk with the Swordsman Submaster in Orsha
QUEST_UNUSED_20151022_001881	Defeat Lapes at Paupys Crossing
QUEST_UNUSED_20151022_001882	Swordsman Submaster asked you to defeat Lapflammer and Lapeman at Paupys Crossing to check the abilities of the Revelator.
QUEST_UNUSED_20151022_001883	Report to Swodsman Submaster
QUEST_UNUSED_20151022_001884	You've defeated enough monsters. Go back to Swordsman Submaster and report.
QUEST_UNUSED_20151022_001885	Defeat Lapflammer
QUEST_UNUSED_20151022_001886	Defeat Lapeman
QUEST_UNUSED_20151022_001887	The Possibilities of a Two-handed Sword [Highlander Advancement]
QUEST_UNUSED_20151022_001888	Talk with the Highlander Submaster
QUEST_UNUSED_20151022_001889	Talk with Highlander Submaster at Lemprasa Pond
QUEST_UNUSED_20151022_001890	Prove your strength by hitting the sword practice pell
QUEST_UNUSED_20151022_001891	Highlander Submaster is suspecting whether the Revelator has enough power to control the two handed swords. Prove your strength by hitting the practice pole nearby.
QUEST_UNUSED_20151022_001892	Report to Highlander Submaster
QUEST_UNUSED_20151022_001893	It seems that you've shown your enough power. Talk with the Highlander Submaster.
QUEST_UNUSED_20151022_001894	"""To be acknowledged as a Highlander, you are not enough. Talk with the Highlander Submaster again."""
QUEST_UNUSED_20151022_001895	Defeat Lapflammer at Paupys Crossing
QUEST_UNUSED_20151022_001896	"""To judge your practical skills and strength, the Highlander Submaster has tasked you with defeating Lapflammers in Paupys Crossing."""
QUEST_UNUSED_20151022_001897	You've defeated Lapflammer as instructed. Go back to Highlander Submaster and report.
QUEST_UNUSED_20151022_001898	Talk with Peltasta Submaster
QUEST_UNUSED_20151022_001899	Talk with Peltasta Submaster at Orsha
QUEST_UNUSED_20151022_001900	Gather Lapeman Metal Decorations and Wood
QUEST_UNUSED_20151022_001901	Peltasta Submaster told you to bring the materials of the shield. Collect the useful trees and the symbols of Lapeman from Paupys Crossing.
QUEST_UNUSED_20151022_001902	Report to Peltasta Submaster
QUEST_UNUSED_20151022_001903	It seems that you've gathered enough materials. Go back to Peltasta Submaster and report.
QUEST_UNUSED_20151022_001904	Look for %s from the woods
QUEST_UNUSED_20151022_001905	Obtain %s from Lapeman
QUEST_UNUSED_20151022_001906	Talk with Cleric Submaster at Orsha
QUEST_UNUSED_20151022_001907	Defeat Lapes at The Woods of the Linked Bridges
QUEST_UNUSED_20151022_001908	The Cleric Submaster has requested you clear out the Lapezards and Lapefighters terrorizing people at the Woods of the Linked Bridges.
